"Timestamp","SG010-CM06002 Purified (L)","SG010-CM06006 Basement (L)","SG010-CM06001 Admin (L)","SG010-CM06008 Logistics (L)","SG010-CM06009 BB & Tab GF (L)","SG080-FM06001 QC Lab 2 & SBP (L)","SG080-FM06002 Bin Washer (L)","SG010-CM06005 Packaging (L)","SG010-CM06010 Tab L3 (TCW01/02) (L)"
"2025-08-23 00:30:00",190,170,0,0,20,0,0,0,0
"2025-08-23 00:45:00",0,0,0,0,10,0,0,0,0
"2025-08-23 01:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 01:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 01:30:00",340,320,0,0,10,0,0,0,0
"2025-08-23 01:45:00",0,0,10,0,0,0,0,0,0
"2025-08-23 02:00:00",0,0,0,0,10,0,0,0,0
"2025-08-23 02:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 02:30:00",320,290,0,0,0,0,0,0,0
"2025-08-23 02:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 03:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 03:15:00",180,170,0,380,10,0,0,0,0
"2025-08-23 03:30:00",0,0,0,710,0,0,0,0,0
"2025-08-23 03:45:00",380,340,0,210,30,0,0,0,0
"2025-08-23 04:00:00",0,0,0,0,40,0,0,0,0
"2025-08-23 04:15:00",0,0,10,0,0,0,0,0,0
"2025-08-23 04:30:00",0,0,0,0,0,0,0,0,0
"2025-08-23 04:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 05:00:00",380,340,0,0,0,0,0,0,0
"2025-08-23 05:15:00",0,0,20,0,0,0,0,0,0
"2025-08-23 05:30:00",0,0,0,0,0,0,0,0,0
"2025-08-23 05:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 06:00:00",360,330,0,0,0,0,0,0,0
"2025-08-23 06:15:00",0,0,10,0,0,0,0,0,0
"2025-08-23 06:30:00",0,0,320,30,50,0,0,0,0
"2025-08-23 06:45:00",0,0,40,0,10,0,160,0,0
"2025-08-23 07:00:00",380,350,40,10,10,0,150,0,0
"2025-08-23 07:15:00",440,400,0,0,10,0,200,0,0
"2025-08-23 07:30:00",410,370,0,0,0,0,0,0,0
"2025-08-23 07:45:00",490,440,0,0,10,0,0,0,0
"2025-08-23 08:00:00",330,320,0,0,20,0,0,0,0
"2025-08-23 08:15:00",0,0,10,10,0,0,0,0,0
"2025-08-23 08:30:00",390,350,30,0,0,0,70,0,0
"2025-08-23 08:45:00",400,360,30,0,10,0,240,0,0
"2025-08-23 09:00:00",520,470,40,250,0,0,400,0,0
"2025-08-23 09:15:00",280,250,90,700,10,0,0,0,0
"2025-08-23 09:30:00",420,390,60,480,10,0,0,0,0
"2025-08-23 09:45:00",350,320,190,0,0,0,0,0,0
"2025-08-23 10:00:00",380,350,190,0,10,0,0,0,0
"2025-08-23 10:15:00",0,0,150,0,0,0,0,0,0
"2025-08-23 10:30:00",330,290,20,0,10,0,0,0,0
"2025-08-23 10:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 11:00:00",0,0,10,10,0,0,0,0,0
